Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
T-D-MM1-VV1-REI120-CV35-X80-H160-6.0,"±7,4","±17,4",7.4,7.4,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV35-X80-H160-L500-6.0,T,D,MM1,VV1,REI120,CV35,X80,H160,6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H160-6.0,"±14,8","±34,8",14.8,14.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV35-X80-H160-L500-6.0,T,D,MM1,VV1.2,REI120,CV35,X80,H160,6.0
T-D-MM1-VV2-REI120-CV35-X80-H160-6.0,"±7,1","±26,1",7.1,7.1,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV35-X80-H160-L500-6.0,T,D,MM1,VV2,REI120,CV35,X80,H160,6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H160-6.0,"±14,2","±52,2",14.2,14.2,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV35-X80-H160-L500-6.0,T,D,MM1,VV2.2,REI120,CV35,X80,H160,6.0
T-D-MM1-VV1-REI120-CV30-X80-H160-6.0,"±7,9","±17,4",7.9,7.9,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV30-X80-H160-L500-6.0,T,D,MM1,VV1,REI120,CV30,X80,H160,6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H160-6.0,"±15,8","±34,8",15.8,15.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV30-X80-H160-L500-6.0,T,D,MM1,VV1.2,REI120,CV30,X80,H160,6.0
T-D-MM1-VV2-REI120-CV30-X80-H160-6.0,"±7,5","±26,1",7.5,7.5,26.1,26.1,C25/30,L500,T-D-MM1-VV2-REI120-CV30-X80-H160-L500-6.0,T,D,MM1,VV2,REI120,CV30,X80,H160,6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H160-6.0,"±15,0","±52,2",15.0,15.0,52.2,52.2,C25/30,L500,T-D-MM1-VV2.2-REI120-CV30-X80-H160-L500-6.0,T,D,MM1,VV2.2,REI120,CV30,X80,H160,6.0
T-D-MM1-VV1-REI120-CV50-X80-H200-6.0,"±7,9","±17,4",7.9,7.9,17.4,17.4,C25/30,L500,T-D-MM1-VV1-REI120-CV50-X80-H200-L500-6.0,T,D,MM1,VV1,REI120,CV50,X80,H200,6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H200-6.0,"±15,8","±34,8",15.8,15.8,34.8,34.8,C25/30,L500,T-D-MM1-VV1.2-REI120-CV50-X80-H200-L500-6.0,T,D,MM1,VV1.2,REI120,CV50,X80,H200,6.0
