Encoded,MrD,vRd,TableName
T-D-MM1-VV1-REI120-CV35-X80-H160-6.0,7.4,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H160-6.0,14.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H160-6.0,7.1,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H160-6.0,14.2,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H160-6.0,7.9,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H160-6.0,15.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H160-6.0,7.5,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H160-6.0,15.0,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H200-6.0,7.9,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H200-6.0,15.8,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H200-6.0,7.5,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H200-6.0,15.0,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H170-6.0,8.3,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H170-6.0,16.6,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H170-6.0,7.9,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H170-6.0,15.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H170-6.0,7.0,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H170-6.0,14.0,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H170-6.0,8.8,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H170-6.0,17.6,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H170-6.0,8.4,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H170-6.0,16.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H170-6.0,7.4,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H170-6.0,14.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H210-6.0,8.8,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H210-6.0,17.6,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H210-6.0,8.4,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H210-6.0,16.8,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV50-X80-H210-6.0,7.4,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H210-6.0,14.8,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H180-6.0,9.2,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H180-6.0,18.4,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H180-6.0,8.8,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV35-X80-H180-6.0,17.6,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV35-X80-H180-6.0,7.7,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV35-X80-H180-6.0,15.4,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV30-X80-H180-6.0,9.7,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV30-X80-H180-6.0,19.4,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV30-X80-H180-6.0,9.2,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV30-X80-H180-6.0,18.4,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV30-X80-H180-6.0,8.1,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV30-X80-H180-6.0,16.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV50-X80-H220-6.0,9.7,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV50-X80-H220-6.0,19.4,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV50-X80-H220-6.0,9.2,26.1,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2.2-REI120-CV50-X80-H220-6.0,18.4,52.2,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3-REI120-CV50-X80-H220-6.0,8.1,46.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV3.2-REI120-CV50-X80-H220-6.0,16.2,92.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1-REI120-CV35-X80-H190-6.0,10.1,17.4,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV1.2-REI120-CV35-X80-H190-6.0,20.2,34.8,Schock_Isokorb_T_Typ_D_6.0
T-D-MM1-VV2-REI120-CV35-X80-H190-6.0,9.6,26.1,Schock_Isokorb_T_Typ_D_6.0
