Encoded,mRd,vRd,mRd_plus,mRd_minus,vRd_plus,vRd_minus,C,Length,product_name,Thickness,Type,M-type,V-type,REI-type,CV-type,X-type,Height,Type Number
XT-D-MM1-VV1.2-REI120-CV35-X120-H160-6.0,"±14,6","±28,2",14.6,14.6,28.2,28.2,C25/30,L500,XT-D-MM1-VV1.2-REI120-CV35-X120-H160-L500-6.0,XT,D,MM1,VV1.2,REI120,CV35,X120,H160,6.0
XT-D-MM1-VV2-REI120-CV35-X120-H160-6.0,"±6,9","±21,2",6.9,6.9,21.2,21.2,C25/30,L500,XT-D-MM1-VV2-REI120-CV35-X120-H160-L500-6.0,XT,D,MM1,VV2,REI120,CV35,X120,H160,6.0
XT-D-MM1-VV2.2-REI120-CV35-X120-H160-6.0,"±13,8","±42,4",13.8,13.8,42.4,42.4,C25/30,L500,XT-D-MM1-VV2.2-REI120-CV35-X120-H160-L500-6.0,XT,D,MM1,VV2.2,REI120,CV35,X120,H160,6.0
XT-D-MM1-VV1.2-REI120-CV50-X120-H200-6.0,"±15,6","±28,2",15.6,15.6,28.2,28.2,C25/30,L500,XT-D-MM1-VV1.2-REI120-CV50-X120-H200-L500-6.0,XT,D,MM1,VV1.2,REI120,CV50,X120,H200,6.0
XT-D-MM1-VV2-REI120-CV50-X120-H200-6.0,"±7,3","±21,2",7.3,7.3,21.2,21.2,C25/30,L500,XT-D-MM1-VV2-REI120-CV50-X120-H200-L500-6.0,XT,D,MM1,VV2,REI120,CV50,X120,H200,6.0
XT-D-MM1-VV2.2-REI120-CV50-X120-H200-6.0,"±14,6","±42,4",14.6,14.6,42.4,42.4,C25/30,L500,XT-D-MM1-VV2.2-REI120-CV50-X120-H200-L500-6.0,XT,D,MM1,VV2.2,REI120,CV50,X120,H200,6.0
XT-D-MM1-VV1.2-REI120-CV35-X120-H170-6.0,"±16,4","±28,2",16.4,16.4,28.2,28.2,C25/30,L500,XT-D-MM1-VV1.2-REI120-CV35-X120-H170-L500-6.0,XT,D,MM1,VV1.2,REI120,CV35,X120,H170,6.0
XT-D-MM1-VV2-REI120-CV35-X120-H170-6.0,"±7,7","±21,2",7.7,7.7,21.2,21.2,C25/30,L500,XT-D-MM1-VV2-REI120-CV35-X120-H170-L500-6.0,XT,D,MM1,VV2,REI120,CV35,X120,H170,6.0
XT-D-MM1-VV2.2-REI120-CV35-X120-H170-6.0,"±15,4","±42,4",15.4,15.4,42.4,42.4,C25/30,L500,XT-D-MM1-VV2.2-REI120-CV35-X120-H170-L500-6.0,XT,D,MM1,VV2.2,REI120,CV35,X120,H170,6.0
XT-D-MM1-VV3-REI120-CV35-X120-H170-6.0,"±6,6","±37,6",6.6,6.6,37.6,37.6,C25/30,L500,XT-D-MM1-VV3-REI120-CV35-X120-H170-L500-6.0,XT,D,MM1,VV3,REI120,CV35,X120,H170,6.0
XT-D-MM1-VV3.2-REI120-CV35-X120-H170-6.0,"±13,2","±75,2",13.2,13.2,75.2,75.2,C25/30,L500,XT-D-MM1-VV3.2-REI120-CV35-X120-H170-L500-6.0,XT,D,MM1,VV3.2,REI120,CV35,X120,H170,6.0
XT-D-MM1-VV1.2-REI120-CV50-X120-H210-6.0,"±17,4","±28,2",17.4,17.4,28.2,28.2,C25/30,L500,XT-D-MM1-VV1.2-REI120-CV50-X120-H210-L500-6.0,XT,D,MM1,VV1.2,REI120,CV50,X120,H210,6.0
XT-D-MM1-VV2-REI120-CV50-X120-H210-6.0,"±8,2","±21,2",8.2,8.2,21.2,21.2,C25/30,L500,XT-D-MM1-VV2-REI120-CV50-X120-H210-L500-6.0,XT,D,MM1,VV2,REI120,CV50,X120,H210,6.0
XT-D-MM1-VV2.2-REI120-CV50-X120-H210-6.0,"±16,4","±42,4",16.4,16.4,42.4,42.4,C25/30,L500,XT-D-MM1-VV2.2-REI120-CV50-X120-H210-L500-6.0,XT,D,MM1,VV2.2,REI120,CV50,X120,H210,6.0
XT-D-MM1-VV3-REI120-CV50-X120-H210-6.0,"±7,0","±37,6",7.0,7.0,37.6,37.6,C25/30,L500,XT-D-MM1-VV3-REI120-CV50-X120-H210-L500-6.0,XT,D,MM1,VV3,REI120,CV50,X120,H210,6.0
XT-D-MM1-VV3.2-REI120-CV50-X120-H210-6.0,"±14,0","±75,2",14.0,14.0,75.2,75.2,C25/30,L500,XT-D-MM1-VV3.2-REI120-CV50-X120-H210-L500-6.0,XT,D,MM1,VV3.2,REI120,CV50,X120,H210,6.0
XT-D-MM1-VV1.2-REI120-CV35-X120-H180-6.0,"±18,2","±28,2",18.2,18.2,28.2,28.2,C25/30,L500,XT-D-MM1-VV1.2-REI120-CV35-X120-H180-L500-6.0,XT,D,MM1,VV1.2,REI120,CV35,X120,H180,6.0
XT-D-MM1-VV2-REI120-CV35-X120-H180-6.0,"±8,6","±21,2",8.6,8.6,21.2,21.2,C25/30,L500,XT-D-MM1-VV2-REI120-CV35-X120-H180-L500-6.0,XT,D,MM1,VV2,REI120,CV35,X120,H180,6.0
XT-D-MM1-VV2.2-REI120-CV35-X120-H180-6.0,"±17,2","±42,4",17.2,17.2,42.4,42.4,C25/30,L500,XT-D-MM1-VV2.2-REI120-CV35-X120-H180-L500-6.0,XT,D,MM1,VV2.2,REI120,CV35,X120,H180,6.0
