Encoded,MrD,vRd,TableName
XT-D-MM1-VV1.2-REI120-CV35-X160-H160-6.0,14.6,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV35-X160-H160-6.0,6.9,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV35-X160-H160-6.0,13.8,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV1.2-REI120-CV50-X160-H200-6.0,15.6,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV50-X160-H200-6.0,7.3,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV50-X160-H200-6.0,14.6,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV1.2-REI120-CV35-X160-H170-6.0,16.4,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV35-X160-H170-6.0,7.7,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV35-X160-H170-6.0,15.4,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3-REI120-CV35-X160-H170-6.0,6.6,37.6,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3.2-REI120-CV35-X160-H170-6.0,13.2,75.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV1.2-REI120-CV50-X160-H210-6.0,17.4,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV50-X160-H210-6.0,8.2,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV50-X160-H210-6.0,16.4,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3-REI120-CV50-X160-H210-6.0,7.0,37.6,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3.2-REI120-CV50-X160-H210-6.0,14.0,75.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV1.2-REI120-CV35-X160-H180-6.0,18.2,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV35-X160-H180-6.0,8.6,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV35-X160-H180-6.0,17.2,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3-REI120-CV35-X160-H180-6.0,7.4,37.6,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3.2-REI120-CV35-X160-H180-6.0,14.8,75.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV1.2-REI120-CV50-X160-H220-6.0,19.0,28.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2-REI120-CV50-X160-H220-6.0,9.0,21.2,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV2.2-REI120-CV50-X160-H220-6.0,18.0,42.4,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3-REI120-CV50-X160-H220-6.0,7.7,37.6,Schock_Isokorb_XT_Typ_D_6.0
XT-D-MM1-VV3.2-REI120-CV50-X160-H220-6.0,15.4,75.2,Schock_Isokorb_XT_Typ_D_6.0
